PK_PRODUCT_ID,REF_PRODUCT_ID,SOURCE_SYSTEM_CD,LMID_CD,GMID_CD,LMID_NM,GMID_NM,EAN_CD,INTERNATIONAL_TRADEMARK_CD,INTERNATIONAL_TRADEMARK_DESC,SMART_CD,SMART_DESC,MATERIAL_TYPE_CD,MATERIAL_TYPE_DESC,PRODUCT_HIERARCHY,GROUPE_ART_1,DISTRIB_CHANNEL,SALES_ORG,MAT_PRICE_GRP,MATERIAL_GROUP_CD,MATERIAL_GROUP_DESC,LOCAL_TRADE_CD,LOCAL_TRADE_DESC,ATTRIBUT_PROD_2,CONVERSION_UNIT_OF_MEASURE_NUM,UCD_CD,MDM_PRODUCT_ID
20011,P00011,SAP,LM1011,GM5011,Johnson & Johnson 500mg,Johnson & Johnson,3400946062880,TM142,Johnson & Johnson Global,SM010,Pediatrics,MT01,Finished Product,03-01-07-XX,GA07,30,2000,PG07,MG01,Pain Relief,LT04,Cold Chain,Syrup,1,UCD5011,MDM0011
20012,P00012,SAP,LM1012,GM5012,Pfizer 500mg,,3400924744344,TM123,Pfizer Global,SM005,Immunology,MT03,Raw Material,03-02-02-28,GA04,10,1000,PG01,MG04,Digestive Health,LT06,Respiratory Care,Injection,1,UCD5012,MDM0012
20013,P00013,SAP,LM1013,GM5013,AstraZeneca 2mg,AstraZeneca,3400910836723,TM636,AstraZeneca Global,SM009,Dermatology,MT03,Raw Material,02-03-04-19,GA05,30,2000,PG06,MG05,Endocrinology,LT02,Hospital,Gel,1,UCD5013,MDM0013
20014,P00014,SAP,LM1014,GM5014,Johnson & Johnson 200mg,Johnson & Johnson,3400991677163,TM519,Johnson & Johnson Global,SM005,Immunology,MT02,Biotech Product,02-03-02-10,GA06,10,2000,PG03,MG01,Pain Relief,LT01,Pharmacy,Injection,10,UCD5014,MDM0014
20015,P00015,SAP,LM1015,GM5015,Johnson & Johnson 25mg,Johnson & Johnson,3400990230594,TM879,Johnson & Johnson Global,SM005,Immunology,MT02,Biotech Product,02-02-01-30,GA07,20,3000,PG02,MG05,Endocrinology,LT04,Cold Chain,Injection,10,UCD5015,MDM0015
20016,P00016,SAP,LM1016,GM5016,Servier 2mg,Servier,3400935922805,TM733,Servier Global,SM001,Analgesics,MT02,Biotech Product,01-02-06-10,GA02,20,2000,PG03,MG05,Endocrinology,LT01,Pharmacy,Tablet,100,UCD5016,MDM0016
20017,P00017,SAP,LM1017,GM5017,Novartis 10mg,,3400909110557,TM997,Novartis Global,SM002,Antibiotics,MT03,Raw Material,02-01-07-19,GA03,20,2000,PG04,MG04,Digestive Health,LT02,Hospital,Capsule,10,UCD5017,MDM0017
20018,P00018,SAP,LM1018,GM5018,Servier 500mg,Servier,3400910755879,TM234,Servier Global,SM002,Antibiotics,MT01,Finished Product,01-02-09-16,GA07,20,2000,PG02,MG06,Rheumatology,LT05,Specialty,Capsule,1,UCD5018,MDM0018
20019,P00019,SAP,LM1019,GM5019,Pfizer 200mg,Pfizer,3400969526734,TM674,Pfizer Global,SM009,Dermatology,MT01,Finished Product,03-01-08-02,GA04,30,3000,PG07,MG02,Anti-Infective,LT06,Respiratory Care,Gel,10,UCD5019,MDM0019
20020,P00020,SAP,LM1020,GM5020,Amgen 500mg,Amgen,3400952834480,TM919,Amgen Global,SM005,Immunology,MT03,Raw Material,XX-02-04-06,GA07,10,2000,PG01,MG03,OTC General,LT05,Specialty,Injection,10,UCD5020,MDM0020
20021,P00021,SAP,LM1021,GM5021,Johnson & Johnson 2mg,Johnson & Johnson,3400912527193,TM547,Johnson & Johnson Global,SM001,Analgesics,MT01,Finished Product,0303-05-19,GA01,20,2000,PG05,MG05,Endocrinology,LT06,Respiratory Care,Tablet,1,UCD5021,MDM0021
20022,P00022,SAP,LM1022,GM5022,Merck 200mg,Merck,3400913537612,TM921,Merck Global,SM001,Analgesics,MT02,Biotech Product,02-03-05-12,GA03,20,1000,PG06,MG06,Rheumatology,LT01,Pharmacy,Tablet,100,UCD5022,MDM0022
20023,P00023,SAP,LM1023,GM5023,Servier 25mg,Servier,3400937785703,TM323,Servier Global,SM007,Respiratory,MT03,Raw Material,01-01-01-29,GA02,30,3000,PG06,MG06,Rheumatology,LT01,Pharmacy,Inhaler,1,UCD5023,MDM0023
20024,P00024,SAP,LM1024,GM5024,GSK 1000mg,GSK,3400921619487,TM745,GSK Global,SM005,Immunology,MT01,Finished Product,02-02-05-21,GA02,20,2000,PG04,MG01,Pain Relief,LT05,Specialty,Injection,100,UCD5024,MDM0024
20025,P00025,SAP,LM1025,GM5025,Roche 2mg,Roche,3400989309870,TM272,Roche Global,SM005,Immunology,MT03,Raw Material,01-01-06-14,GA06,20,3000,PG06,MG07,Allergy,LT04,Cold Chain,Injection,10,UCD5025,MDM0025
20026,P00026,SAP,LM1026,GM5026,Novartis 500mg,Novartis,3400982637484,TM391,Novartis Global,SM002,Antibiotics,MT01,Finished Product,01-02-03-14,GA05,20,1000,PG03,MG03,OTC General,LT04,,Capsule,1,UCD5026,MDM0026
20027,P00027,SAP,LM1027,GM5027,Pfizer 2mg,Pfizer,3400923172562,TM410,Pfizer Global,SM009,Dermatology,MT01,Finished Product,03-03-06-22,GA07,20,1000,PG06,MG07,Allergy,LT04,Cold Chain,Gel,100,UCD5027,MDM0027
20028,P00028,SAP,LM1028,GM5028,Merck 25mg,Merck,3400933970525,TM343,Merck Global,SM002,Antibiotics,MT03,Raw Material,03-03-07-27,GA08,20,2000,PG01,MG01,Pain Relief,LT02,Hospital,Capsule,1,UCD5028,MDM0028
20029,P00029,SAP,LM1029,GM5029,Servier 1000mg,Servier,340B902426066,TM552,Servier Global,SM005,Immunology,MT01,Finished Product,01-01-06-08,GA08,10,3000,PG06,MG02,Anti-Infective,LT06,Respiratory Care,Injection,1,UCD5029,MDM0029
20030,P00030,SAP,LM1030,GM5030,GSK 25mg,GSK,3400976512412,TM752,GSK Global,SM009,Dermatology,MT03,Raw Material,01-02-06-11,GA06,20,3000,PG04,MG03,OTC General,LT04,Cold Chain,Gel,1,UCD5030,MDM0030
20031,P00031,SAP,LM1031,GM5031,Bayer 2mg,Bayer,3400940827120,TM863,Bayer Global,SM001,Analgesics,MT03,Raw Material,02-02-04-19,GA01,20,1000,PG06,MG06,Rheumatology,LT06,Respiratory Care,Tablet,100,UCD5031,MDM0031
20032,P00032,SAP,LM1032,GM5032,Servier 1000mg,Servier,3400996895463,TM369,Servier Global,SM009,Dermatology,MT01,Finished Product,01-03-03-25,GA05,30,3000,PG07,MG04,Digestive Health,LT06,Respiratory Care,Gel,1,UCD5032,MDM0032
20033,P00033,SAP,LM1033,GM5033,Ipsen 200mg,Ipsen,3400942555726,TM895,Ipsen Global,SM002,Antibiotics,MT03,Raw Material,02-01-09-22,GA06,20,3000,PG04,MG05,Endocrinology,LT05,Specialty,Capsule,100,UCD5033,MDM0033
20034,P00034,SAP,LM1034,GM5034,Roche 10mg,Roche,340095971860,TM683,Roche Global,SM002,Antibiotics,MT01,Finished Product,02-02-03-05,GA05,30,3000,PG03,MG02,Anti-Infective,LT04,Cold Chain,Capsule,1,UCD5034,MDM0034
20035,P00035,SAP,LM1035,GM5035,Pfizer 200mg,Pfizer,3400976469930,TM527,Pfizer Global,SM010,Pediatrics,MT02,Biotech Product,03-01-08-22,GA07,10,2000,PG02,MG06,Rheumatology,LT05,Specialty,Syrup,1,UCD5035,MDM0035
20036,P00036,SAP,LM1036,GM5036,AbbVie 200mg,AbbVie,3400905782716,TM196,AbbVie Global,SM001,Analgesics,MT01,Finished Product,02-03-07-07,GA03,10,1000,PG06,MG04,Digestive Health,LT02,Hospital,Tablet,1,UCD5036,MDM0036
20037,P00037,SAP,LM1037,GM5037,Pfizer 25mg,Pfizer,3400974323791,TM573,Pfizer Global,SM009,Dermatology,MT03,Raw Material,02-01-04-24,GA04,10,1000,PG03,MG06,Rheumatology,LT06,Respiratory Care,Gel,100,UCD5037,MDM0037
20038,P00038,SAP,LM1038,GM5038,Amgen 200mg,Amgen,3400916199091,TM664,Amgen Global,SM002,Antibiotics,MT03,Raw Material,02-02-06-13,GA01,20,3000,PG04,MG03,OTC General,LT03,OTC,Capsule,10,UCD5038,MDM0038
20039,P00039,SAP,LM1039,GM5039,Pfizer 500mg,Pfizer,3400959465960,TM335,Pfizer Global,SM001,Analgesics,MT02,Biotech Product,03-01-08-15,GA06,30,3000,PG07,MG05,Endocrinology,LT01,Pharmacy,Tablet,1,UCD5039,MDM0039
20040,P00040,SAP,LM1040,GM5040,Bayer 200mg,Bayer,3400950953659,TM468,Bayer Global,SM001,Analgesics,MT03,Raw Material,02-03-01-05,GA06,10,1000,PG01,MG04,Digestive Health,LT01,Pharmacy,Tablet,1,UCD5040,MDM0040
20041,P00041,SAP,LM1041,GM5041,Merck 200mg,Merck,3400997061997,TM735,Merck Global,SM005,Immunology,MT01,Finished Product,02-02-04-11,GA08,30,1000,PG04,MG02,Anti-Infective,LT05,Specialty,Injection,1,UCD5041,MDM0041
20042,P00042,SAP,LM1042,GM5042,AstraZeneca 25mg,AstraZeneca,3400921114353,TM511,AstraZeneca Global,SM001,Analgesics,MT01,Finished Product,02-03-01-17,GA08,10,2000,PG02,MG07,Allergy,LT05,Specialty,Tablet,1,UCD5042,MDM0042
20043,P00043,SAP,LM1043,GM5043,Bayer 2mg,Bayer,3400953815581,TM601,Bayer Global,SM007,Respiratory,MT01,Finished Product,03-01-08-13,GA02,10,2000,PG04,MG01,Pain Relief,LT02,Hospital,Inhaler,1,UCD5043,MDM0043
20044,P00044,SAP,LM1044,GM5044,Sanofi 500mg,Sanofi,340095901928,TM823,Sanofi Global,SM005,Immunology,MT03,Raw Material,03-01-08-18,GA01,20,3000,PG04,MG07,Allergy,LT05,Specialty,Injection,1,UCD5044,MDM0044
20045,P00045,SAP,LM1045,GM5045,Roche 2mg,Roche,3400990062069,TM045,Roche Global,SM010,Pediatrics,MT02,Biotech Product,02-01-09-06,GA04,20,1000,PG05,MG03,OTC General,LT02,Hospital,Syrup,100,UCD5045,MDM0045
20046,P00046,SAP,LM1046,GM5046,AstraZeneca 200mg,AstraZeneca,340092030612D,TM573,AstraZeneca Global,SM007,Respiratory,MT01,Finished Product,03-02-07-09,GA03,20,1000,PG01,MG03,OTC General,LT01,Pharmacy,Inhaler,1,UCD5046,MDM0046
20047,P00047,SAP,LM1047,GM5047,Ipsen 500mg,Ipsen,3400984663418,TM002,Ipsen Global,SM009,Dermatology,MT02,Biotech Product,01-03-08-21,GA07,30,3000,PG03,MG05,Endocrinology,LT03,OTC,Gel,1,UCD5047,MDM0047
20048,P00048,SAP,LM1048,GM5048,Amgen 10mg,Amgen,3400902189556,TM581,Amgen Global,SM010,Pediatrics,MT01,Finished Product,02-03-09-01,GA01,20,3000,PG02,MG06,Rheumatology,LT04,Cold Chain,Syrup,100,UCD5048,MDM0048
20049,P00049,SAP,LM1049,GM5049,GSK 2mg,GSK,3400949656118,TM628,GSK Global,SM002,Antibiotics,MT03,Raw Material,02-01-07-09,GA01,20,3000,PG03,MG02,Anti-Infective,LT04,Cold Chain,Capsule,1,UCD5049,MDM0049
20050,P00050,SAP,LM1050,GM5050,AbbVie 200mg,AbbVie,3400908403270,TM746,AbbVie Global,SM009,Dermatology,MT02,Biotech Product,02-02-07-16,GA05,20,1000,PG01,MG05,Endocrinology,LT05,Specialty,Gel,1,UCD5050,MDM0050
20051,P00051,SAP,LM1051,GM5051,Roche 2mg,Roche,3400929926385,TM236,Roche Global,SM002,Antibiotics,MT02,Biotech Product,01-03-06-21,GA07,10,3000,PG05,MG03,OTC General,LT05,Specialty,Capsule,100,UCD5051,MDM0051
20052,P00052,SAP,LM1052,GM5052,AstraZeneca 1000mg,AstraZeneca,3400939250612,TM174,AstraZeneca Global,SM010,Pediatrics,MT02,Biotech Product,03-03-03-15,GA07,30,2000,PG06,MG01,Pain Relief,LT05,Specialty,Syrup,1,UCD5052,MDM0052
20053,P00053,SAP,LM1053,GM5053,Amgen 10mg,Amgen,3400955826888,TM971,Amgen Global,SM001,Analgesics,MT03,Raw Material,02-03-09-12,GA06,20,3000,PG02,MG01,Pain Relief,LT04,Cold Chain,Tablet,100,UCD5053,MDM0053
20054,P00054,SAP,LM1054,GM5054,AstraZeneca 10mg,AstraZeneca,3400983925373,TM893,AstraZeneca Global,SM007,Respiratory,MT01,Finished Product,01-01-04-06,GA08,30,2000,PG04,MG07,Allergy,LT02,Hospital,Inhaler,10,UCD5054,MDM0054
20055,P00055,SAP,LM1055,GM5055,Merck 1000mg,Merck,3400900121662,TM903,Merck Global,SM002,Antibiotics,MT03,Raw Material,01-02-04-11,GA05,10,1000,PG01,MG07,Allergy,LT03,OTC,Capsule,1,UCD5055,MDM0055
20056,P00056,SAP,LM1056,GM5056,AbbVie 25mg,AbbVie,3400901885457,TM128,AbbVie Global,SM010,Pediatrics,MT01,Finished Product,02-01-03-15,GA08,10,3000,PG07,MG04,Digestive Health,LT02,Hospital,Syrup,1,UCD5056,MDM0056
20057,P00057,SAP,LM1057,GM5057,Sanofi 25mg,Sanofi,3400949404793,TM418,Sanofi Global,SM010,Pediatrics,MT01,Finished Product,02-03-02-09,GA04,20,1000,PG03,MG02,Anti-Infective,LT01,Pharmacy,Syrup,1,UCD5057,MDM0057
20058,P00058,SAP,LM1058,GM5058,Ipsen 1000mg,Ipsen,34009287637C3,TM649,Ipsen Global,SM009,Dermatology,MT01,Finished Product,03-03-05-11,GA07,30,3000,PG03,MG02,Anti-Infective,LT06,Respiratory Care,Gel,100,UCD5058,MDM0058
20059,P00059,SAP,LM1059,GM5059,Merck 10mg,Merck,3400940652788,TM213,Merck Global,SM002,Antibiotics,MT03,Raw Material,03-03-08-06,GA06,30,2000,PG03,MG03,OTC General,LT01,Pharmacy,Capsule,100,UCD5059,MDM0059
20060,P00060,SAP,LM1060,GM5060,Roche 500mg,Roche,3400963396643,TM435,Roche Global,SM001,Analgesics,MT03,Raw Material,02-03-07-22,GA02,20,2000,PG07,MG06,Rheumatology,LT04,Cold Chain,Tablet,100,UCD5060,MDM0060
20061,P00061,SAP,LM1061,GM5061,Novartis 25mg,Novartis,340093733243D,TM478,Novartis Global,SM009,Dermatology,MT01,Finished Product,03-01-05-18,GA01,10,2000,PG04,MG03,OTC General,LT04,Cold Chain,Gel,1,UCD5061,MDM0061
20062,P00062,SAP,LM1062,GM5062,Amgen 200mg,Amgen,340095901928,TM468,Amgen Global,SM005,Immunology,MT01,Finished Product,03-03-09-17,GA01,20,1000,PG01,MG07,Allergy,LT04,Cold Chain,Injection,1,UCD5062,MDM0062
20063,P00063,SAP,LM1063,GM5063,GSK 200mg,GSK,3400997057318,TM994,GSK Global,SM010,Pediatrics,MT03,Raw Material,03-01-05-14,GA06,30,3000,PG07,MG07,Allergy,LT04,Cold Chain,Syrup,1,UCD5063,MDM0063
20064,P00064,SAP,LM1064,GM5064,Sanofi 1000mg,Sanofi,3400916913040,TM588,Sanofi Global,SM007,Respiratory,MT02,Biotech Product,02-02-03-26,GA01,20,1000,PG07,MG02,Anti-Infective,LT04,Cold Chain,Inhaler,1,UCD5064,MDM0064
20065,P00065,SAP,LM1065,GM5065,Bayer 25mg,Bayer,3400951376019,TM478,Bayer Global,SM010,Pediatrics,MT02,Biotech Product,01-02-07-03,GA01,20,3000,PG06,MG01,Pain Relief,LT03,OTC,Syrup,100,UCD5065,MDM0065
20066,P00066,SAP,LM1066,GM5066,Roche 1000mg,Roche,3400923580251,TM806,Roche Global,SM002,Antibiotics,MT01,Finished Product,01-01-04-18,GA05,30,1000,PG04,MG03,OTC General,,Specialty,Capsule,10,UCD5066,MDM0066
20067,P00067,SAP,LM1067,GM5067,Novartis 500mg,Novartis,3400979495628,TM818,Novartis Global,SM002,Antibiotics,MT03,Raw Material,01-03-06-28,GA04,30,2000,PG04,MG06,Rheumatology,LT01,Pharmacy,Capsule,1,UCD5067,MDM0067
20068,P00068,SAP,LM1068,GM5068,Pfizer 25mg,Pfizer,3400937913267,TM425,Pfizer Global,SM005,Immunology,MT01,Finished Product,02-02-05-10,GA03,30,1000,PG01,MG03,OTC General,LT04,Cold Chain,Injection,1,UCD5068,MDM0068
20069,P00069,SAP,LM1069,GM5069,Roche 500mg,,3400990926327,TM534,Roche Global,SM010,Pediatrics,MT02,Biotech Product,03-02-09-24,GA04,10,2000,PG07,MG06,Rheumatology,LT05,Specialty,Syrup,10,UCD5069,MDM0069
20070,P00070,SAP,LM1070,GM5070,Servier 2mg,Servier,3400946335265,TM353,Servier Global,SM007,Respiratory,MT02,Biotech Product,03-01-01-14,GA08,30,1000,PG06,MG05,Endocrinology,LT01,Pharmacy,Inhaler,10,UCD5070,MDM0070
20071,P00071,SAP,LM1071,GM5071,Pfizer 25mg,Pfizer,3400947631142,TM661,Pfizer Global,SM010,Pediatrics,MT01,Finished Product,02-01-08-22,GA01,10,1000,PG06,MG05,Endocrinology,LT04,Cold Chain,Syrup,1,UCD5071,MDM0071
20072,P00072,SAP,LM1072,GM5072,Pfizer 2mg,Pfizer,3400911617282,TM570,Pfizer Global,SM007,Respiratory,MT02,Biotech Product,01-01-07-13,GA06,10,3000,PG05,MG06,Rheumatology,LT05,Specialty,Inhaler,100,UCD5072,MDM0072
20073,P00073,SAP,LM1073,GM5073,Johnson & Johnson 25mg,Johnson & Johnson,3400923778834,TM092,Johnson & Johnson Global,SM010,Pediatrics,MT01,Finished Product,03-02-03-03,GA08,10,1000,PG06,MG07,Allergy,LT02,Hospital,Syrup,1,UCD5073,MDM0073
20074,P00074,SAP,LM1074,GM5074,Ipsen 25mg,,3400980298205,TM048,Ipsen Global,SM007,Respiratory,MT02,Biotech Product,02-02-02-25,GA07,30,3000,PG04,MG06,Rheumatology,LT03,OTC,Inhaler,10,UCD5074,MDM0074
20075,P00075,SAP,LM1075,GM5075,GSK 2mg,GSK,3400961082351,TM326,GSK Global,SM001,Analgesics,MT01,Finished Product,02-03-05-01,GA05,10,3000,PG03,MG07,Allergy,LT04,Cold Chain,Tablet,1,UCD5075,MDM0075
20076,P00076,SAP,LM1076,GM5076,AbbVie 2mg,AbbVie,3400990522037,TM096,AbbVie Global,SM009,Dermatology,MT03,Raw Material,02-02-09-23,GA01,30,3000,PG01,MG01,Pain Relief,LT01,Pharmacy,Gel,1,UCD5076,MDM0076
20077,P00077,SAP,LM1077,GM5077,Amgen 2mg,Amgen,3400931000943,TM053,Amgen Global,SM001,Analgesics,MT01,Finished Product,03-01-08-07,GA04,10,2000,PG04,MG01,Pain Relief,LT02,Hospital,Tablet,1,UCD5077,MDM0077
20078,P00078,SAP,LM1078,GM5078,Bayer 10mg,Bayer,3400946604781,TM920,Bayer Global,SM009,Dermatology,MT01,Finished Product,02-02-04-12,GA02,10,1000,PG02,MG01,Pain Relief,LT02,Hospital,Gel,100,UCD5078,MDM0078
20079,P00079,SAP,LM1079,GM5079,Roche 200mg,Roche,3400980293378,TM988,Roche Global,SM001,Analgesics,MT01,Finished Product,02-02-02-11,GA06,10,3000,PG02,MG01,Pain Relief,LT01,Pharmacy,Tablet,1,UCD5079,MDM0079
20080,P00080,SAP,LM1080,GM5080,AstraZeneca 200mg,AstraZeneca,3400950168488,TM806,AstraZeneca Global,SM007,Respiratory,MT02,Biotech Product,03-03-03-19,GA03,10,3000,PG07,MG05,Endocrinology,LT01,Pharmacy,Inhaler,1,UCD5080,MDM0080
20081,P00081,SAP,LM1081,GM5081,Roche 200mg,Roche,3400989614385,TM139,Roche Global,SM007,Respiratory,MT03,Raw Material,03-03-02-30,GA05,20,1000,PG06,MG04,Digestive Health,LT04,Cold Chain,Inhaler,1,UCD5081,MDM0081
20082,P00082,SAP,LM1082,GM5082,Novartis 10mg,Novartis,3400990398049,TM806,Novartis Global,SM005,Immunology,MT03,Raw Material,01-02-08-07,GA05,30,3000,PG01,MG02,Anti-Infective,LT03,OTC,Injection,0,UCD5082,MDM0082
20083,P00083,SAP,LM1083,GM5083,AbbVie 2mg,AbbVie,3400973299310,TM832,AbbVie Global,SM010,Pediatrics,MT01,Finished Product,03-01-03-01,GA03,30,3000,PG03,MG02,Anti-Infective,LT06,Respiratory Care,Syrup,1,UCD5083,MDM0083
20084,P00084,SAP,LM1084,GM5084,Sanofi 1000mg,Sanofi,3400911249766,TM609,Sanofi Global,SM010,Pediatrics,MT03,Raw Material,03-02-01-13,GA01,30,1000,PG05,MG05,Endocrinology,LT05,Specialty,Syrup,100,UCD5084,MDM0084
20085,P00085,SAP,LM1085,GM5085,AbbVie 1000mg,AbbVie,3400911901266,TM352,AbbVie Global,SM001,Analgesics,MT01,Finished Product,02-03-06-29,GA07,30,1000,PG06,MG04,Digestive Health,LT05,Specialty,Tablet,1,UCD5085,MDM0085
20086,P00086,SAP,LM1086,GM5086,AbbVie 2mg,AbbVie,3400905084104,TM542,AbbVie Global,SM007,Respiratory,MT02,Biotech Product,02-01-08-02,GA01,10,1000,PG02,,Endocrinology,LT04,Cold Chain,Inhaler,100,UCD5086,MDM0086
20087,P00087,SAP,LM1087,GM5087,AstraZeneca 1000mg,AstraZeneca,3400922478807,TM207,AstraZeneca Global,SM009,Dermatology,MT03,Raw Material,02-01-01-24,GA01,20,1000,PG06,MG04,Digestive Health,LT01,Pharmacy,Gel,10,UCD5087,MDM0087
20088,P00088,SAP,LM1088,GM5088,GSK 200mg,GSK,3400919223452,TM037,GSK Global,SM010,Pediatrics,MT03,Raw Material,XX-03-07-18,GA01,10,2000,PG03,MG02,Anti-Infective,LT01,Pharmacy,Syrup,10,UCD5088,MDM0088
20089,P00089,SAP,LM1089,GM5089,GSK 500mg,GSK,3400999131313,TM377,GSK Global,SM001,Analgesics,MT03,Raw Material,01-01-05-18,GA03,30,3000,PG03,MG07,Allergy,LT01,Pharmacy,Tablet,100,UCD5089,MDM0089
20090,P00090,SAP,LM1090,GM5090,Roche 200mg,Roche,3400958125704,TM233,Roche Global,SM005,Immunology,MT02,Biotech Product,01-03-02-29,GA03,10,1000,PG02,MG06,Rheumatology,LT05,Specialty,Injection,10,UCD5090,MDM0090
20091,P00091,SAP,LM1091,GM5091,Roche 10mg,Roche,3400972109713,TM533,Roche Global,SM007,Respiratory,MT03,Raw Material,02-02-03-09,GA03,20,2000,PG03,MG07,Allergy,LT01,Pharmacy,Inhaler,1,UCD5091,MDM0091
20092,P00092,SAP,LM1092,GM5092,,Ipsen,3400937442972,TM091,Ipsen Global,SM010,Pediatrics,MT01,Finished Product,03-01-07-24,GA01,30,2000,PG03,MG01,Pain Relief,LT03,OTC,Syrup,100,UCD5092,MDM0092
20093,P00093,SAP,LM1093,GM5093,AstraZeneca 25mg,AstraZeneca,3400904322243,TM807,AstraZeneca Global,SM005,Immunology,MT03,Raw Material,03-01-07-18,GA08,20,1000,PG01,MG05,Endocrinology,LT05,Specialty,Injection,10,UCD5093,MDM0093
20094,P00094,SAP,LM1094,GM5094,Bayer 1000mg,Bayer,3400935802138,TM553,Bayer Global,SM005,Immunology,MT01,Finished Product,01-02-07-22,GA01,20,2000,PG04,MG05,Endocrinology,LT05,Specialty,Injection,10,UCD5094,MDM0094
20095,P00095,SAP,LM1095,GM5095,Novartis 25mg,Novartis,3400975450928,TM442,Novartis Global,SM001,Analgesics,MT01,Finished Product,01-01-09-29,GA08,20,3000,PG03,MG02,Anti-Infective,LT06,Respiratory Care,Tablet,100,UCD5095,MDM0095
20096,P00096,SAP,LM1096,GM5096,AbbVie 200mg,AbbVie,A400907574010,TM522,AbbVie Global,SM001,Analgesics,MT01,Finished Product,01-01-08-01,GA02,30,2000,PG05,MG02,Anti-Infective,LT05,Specialty,Tablet,100,UCD5096,MDM0096
20097,P00097,SAP,LM1097,GM5097,Bayer 500mg,Bayer,3400995039181,TM223,Bayer Global,SM005,Immunology,MT01,Finished Product,02-02-05-14,GA07,20,1000,PG02,MG06,Rheumatology,LT02,Hospital,Injection,1,UCD5097,MDM0097
20098,P00098,SAP,LM1098,GM5098,AstraZeneca 25mg,AstraZeneca,3400994126828,TM778,AstraZeneca Global,SM010,Pediatrics,MT02,Biotech Product,02-02-07-15,GA03,30,2000,PG07,MG02,Anti-Infective,LT01,Pharmacy,Syrup,100,UCD5098,MDM0098
20099,P00099,SAP,LM1099,GM5099,Ipsen 200mg,Ipsen,3400972077593,TM161,Ipsen Global,SM009,Dermatology,MT01,Finished Product,02-01-04-17,GA04,10,1000,PG05,MG03,OTC General,LT06,Respiratory Care,Gel,,UCD5099,MDM0099
