child,parent,relation
Node_431,Node_360,inherits_from
Node_432,Node_71,inherits_from
Node_433,Node_120,inherits_from
Node_434,Node_380,belongs_to
Node_435,Node_243,linked_to
Node_436,Node_238,depends_on
Node_437,Node_415,connected_to
Node_438,Node_365,belongs_to
Node_439,Node_82,connected_to
Node_440,Node_280,inherits_from
Node_441,Node_51,depends_on
Node_442,Node_156,connected_to
Node_443,Node_82,depends_on
Node_444,Node_155,linked_to
Node_445,Node_235,inherits_from
Node_446,Node_32,belongs_to
Node_447,Node_367,depends_on
Node_448,Node_112,inherits_from
Node_449,Node_93,depends_on
Node_450,Node_321,connected_to
Node_451,Node_293,depends_on
Node_452,Node_106,inherits_from
Node_453,Node_149,linked_to
Node_454,Node_436,inherits_from
Node_455,Node_297,belongs_to
Node_456,Node_122,linked_to
Node_457,Node_337,linked_to
Node_458,Node_235,belongs_to
Node_459,Node_198,depends_on
Node_460,Node_291,inherits_from
Node_461,Node_31,belongs_to
Node_462,Node_154,linked_to
Node_463,Node_445,inherits_from
Node_464,Node_116,connected_to
Node_465,Node_431,belongs_to
Node_466,Node_75,linked_to
Node_467,Node_248,connected_to
Node_468,Node_168,connected_to
Node_469,Node_243,belongs_to
Node_470,Node_257,connected_to
Node_471,Node_83,belongs_to
Node_472,Node_44,depends_on
Node_473,Node_390,linked_to
Node_474,Node_369,belongs_to
Node_475,Node_264,inherits_from
Node_476,Node_257,connected_to
Node_477,Node_412,connected_to
Node_478,Node_256,depends_on
Node_479,Node_412,belongs_to
Node_480,Node_226,inherits_from
Node_481,Node_321,connected_to
Node_482,Node_153,connected_to
Node_483,Node_133,depends_on
Node_484,Node_120,inherits_from
Node_485,Node_200,belongs_to
Node_486,Node_331,inherits_from
Node_487,Node_292,belongs_to
Node_488,Node_452,linked_to
Node_489,Node_154,linked_to
Node_490,Node_139,depends_on
Node_491,Node_364,belongs_to
Node_492,Node_343,connected_to
Node_493,Node_28,depends_on
Node_494,Node_126,linked_to
Node_495,Node_91,belongs_to
Node_496,Node_32,inherits_from
Node_497,Node_478,depends_on
Node_498,Node_215,inherits_from
Node_499,Node_356,inherits_from
Node_500,Node_246,belongs_to
